###############################################################
Date Time: 20.03.2011 18:37:44
Device Description: SCANTOOL.NET LLC
Version ID: ELM327 v1.2a
Protocol: AUTO, ISO 14230-4 (KWP FAST)
Battery Voltatage: 14.2V
###############################################################
Date Time,  Coolant Temperature, Vehicule speed, Engine RPM
20.03.2011 18:46:09,88,97,3101
20.03.2011 18:46:10,88,98,3133
20.03.2011 18:46:12,88,97,3131
20.03.2011 18:46:13,89,98,3142
20.03.2011 18:46:15,90,98,3158
20.03.2011 18:46:16,90,99,3176
20.03.2011 18:46:18,91,99,3179
20.03.2011 18:46:19,91,99,3182
20.03.2011 18:46:21,91,98,3168
20.03.2011 18:46:23,90,98,3164
20.03.2011 18:46:24,88,98,3144
20.03.2011 18:46:26,86,98,3153
20.03.2011 18:46:27,86,98,3164
20.03.2011 18:46:29,85,97,3134
20.03.2011 18:46:30,85,98,3137
20.03.2011 18:46:32,85,98,3153
20.03.2011 18:46:33,85,99,3186
20.03.2011 18:46:35,86,101,3219
20.03.2011 18:46:36,86,101,3249
20.03.2011 18:46:38,87,102,3272
20.03.2011 18:46:39,88,102,3284
20.03.2011 18:46:41,88,102,3279
20.03.2011 18:46:42,89,102,3264
20.03.2011 18:46:44,90,102,3286
20.03.2011 18:46:45,90,102,3282
20.03.2011 18:46:47,91,102,3275
20.03.2011 18:46:48,91,102,3268
20.03.2011 18:46:50,91,102,3290
20.03.2011 18:46:51,90,103,3304
20.03.2011 18:46:53,89,103,3319
20.03.2011 18:46:54,88,104,3332
20.03.2011 18:46:56,87,103,3323
20.03.2011 18:46:58,86,102,3295
20.03.2011 18:46:59,86,102,3274
20.03.2011 18:47:01,86,101,3247
20.03.2011 18:47:02,86,100,3217
20.03.2011 18:47:04,86,100,3205
20.03.2011 18:47:05,86,100,3213
20.03.2011 18:47:07,86,101,3240
20.03.2011 18:47:08,87,101,3266
20.03.2011 18:47:10,88,101,3247
20.03.2011 18:47:11,88,100,3222
20.03.2011 18:47:13,88,100,3213
20.03.2011 18:47:14,88,100,3218
20.03.2011 18:47:16,88,100,3212
20.03.2011 18:47:17,88,100,3204
20.03.2011 18:47:19,88,99,3183
20.03.2011 18:47:20,88,98,3161
20.03.2011 18:47:22,88,98,3148
20.03.2011 18:47:23,88,97,3132
20.03.2011 18:47:25,88,97,3131
20.03.2011 18:47:26,88,98,3144
20.03.2011 18:47:28,87,98,3153
20.03.2011 18:47:29,87,98,3154
20.03.2011 18:47:31,87,99,3177
20.03.2011 18:47:33,87,100,3217
20.03.2011 18:47:34,87,101,3245
20.03.2011 18:47:36,87,102,3268
20.03.2011 18:47:37,87,102,3276
20.03.2011 18:47:39,87,102,3271
20.03.2011 18:47:40,87,102,3276
20.03.2011 18:47:42,87,102,3279
20.03.2011 18:47:43,88,103,3304
20.03.2011 18:47:45,88,104,3319
20.03.2011 18:47:46,88,104,3351
20.03.2011 18:47:48,88,105,3373
20.03.2011 18:47:49,88,105,3382
20.03.2011 18:47:51,88,105,3384
20.03.2011 18:47:52,88,105,3378
20.03.2011 18:47:54,88,104,3356
20.03.2011 18:47:55,88,104,3337
20.03.2011 18:47:57,88,103,3326
20.03.2011 18:47:58,88,103,3317
20.03.2011 18:48:00,88,103,3303
20.03.2011 18:48:01,88,103,3299
20.03.2011 18:48:03,88,102,3295
20.03.2011 18:48:04,88,102,3292
20.03.2011 18:48:06,88,103,3296
20.03.2011 18:48:08,87,103,3315
20.03.2011 18:48:09,87,104,3342
20.03.2011 18:48:11,87,104,3353
20.03.2011 18:48:12,87,104,3353
20.03.2011 18:48:14,87,105,3361
20.03.2011 18:48:15,87,105,3362
20.03.2011 18:48:17,87,104,3360
20.03.2011 18:48:18,87,104,3351
20.03.2011 18:48:20,87,104,3351
20.03.2011 18:48:21,87,104,3354
20.03.2011 18:48:23,88,104,3347
20.03.2011 18:48:24,88,104,3341
20.03.2011 18:48:26,88,103,3326
20.03.2011 18:48:27,88,103,3313
20.03.2011 18:48:29,88,102,3286
20.03.2011 18:48:30,88,101,3254
20.03.2011 18:48:32,88,100,3230
20.03.2011 18:48:33,88,100,3226
20.03.2011 18:48:35,88,100,3221
20.03.2011 18:48:36,88,100,3210
20.03.2011 18:48:38,88,99,3198
20.03.2011 18:48:39,88,99,3177
20.03.2011 18:48:41,88,98,3147
20.03.2011 18:48:43,88,95,3087
20.03.2011 18:48:44,88,93,3005
20.03.2011 18:48:46,88,90,2927
20.03.2011 18:48:47,87,88,2846
20.03.2011 18:48:49,87,84,2765
20.03.2011 18:48:50,86,78,2572
20.03.2011 18:48:52,86,71,2318
20.03.2011 18:48:53,86,67,2207
20.03.2011 18:48:55,86,62,2070
20.03.2011 18:48:56,85,54,1816
20.03.2011 18:48:58,85,43,1524
20.03.2011 18:48:59,85,38,1263
20.03.2011 18:49:01,85,32,1136
20.03.2011 18:49:02,85,25,983
20.03.2011 18:49:04,85,19,946
20.03.2011 18:49:05,85,16,930
20.03.2011 18:49:07,85,12,908
20.03.2011 18:49:08,86,10,833
20.03.2011 18:49:10,86,10,1004
20.03.2011 18:49:11,86,15,999
20.03.2011 18:49:13,86,18,1329
20.03.2011 18:49:14,86,19,1334
20.03.2011 18:49:16,86,20,998
20.03.2011 18:49:18,86,21,1061
20.03.2011 18:49:19,86,23,1172
20.03.2011 18:49:21,86,25,1258
20.03.2011 18:49:22,87,28,1379
20.03.2011 18:49:24,87,29,1475
20.03.2011 18:49:25,87,30,1512
20.03.2011 18:49:27,87,29,1509
20.03.2011 18:49:28,87,24,1319
20.03.2011 18:49:30,86,19,1013
20.03.2011 18:49:31,86,14,992
20.03.2011 18:49:33,86,11,948
20.03.2011 18:49:34,86,8,920
20.03.2011 18:49:36,86,5,908
